landcover,nesting ground,nesting wood,nesting stem,nesting cavity,management nesting,floral spring,floral summer,floral autumn,floral winter,management floral
111,0.1,0.1,0.1,0.1,0,0.05,0.05,0.05,0.05,0
112,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0
121,0.1,0.1,0.1,0.1,0,0.05,0.05,0.05,0.05,0
122,0.3,0.3,0.3,0.3,0,0.25,0.25,0.25,0.25,0
123,0.3,0.3,0.3,0.3,0,0,0,0,0,0
124,0.3,0.3,0.3,0.3,0,0.1,0.1,0.1,0.1,0
131,0.3,0.3,0.3,0.3,0,0.05,0.05,0.05,0.05,0
132,0.05,0.05,0.05,0.05,0,0,0,0,0,0
133,0.1,0.1,0.1,0.1,0,0,0,0,0,0
141,0.3,0.3,0.3,0.3,0,0.25,0.25,0.25,0.25,0
142,0.3,0.3,0.3,0.3,0,0.05,0.05,0.05,0.05,0
211,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0
212,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0
213,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0
221,0.4,0.4,0.4,0.4,0.1,0.6,0.6,0.6,0.6,0.2
222,0.4,0.4,0.4,0.4,0.1,0.9,0.9,0.9,0.9,0
223,0.5,0.5,0.5,0.5,0.1,0.4,0.4,0.4,0.4,0.2
231,0.3,0.3,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.2
241,0.4,0.4,0.4,0.4,0.2,0.5,0.5,0.5,0.5,0.2
242,0.4,0.4,0.4,0.4,0.1,0.4,0.4,0.4,0.4,0.2
243,0.7,0.7,0.7,0.7,0.1,0.75,0.75,0.75,0.75,0.05
244,1,1,1,1,0.1,0.5,0.5,0.5,0.5,0.4
311,0.8,0.8,0.8,0.8,0,0.9,0.9,0.9,0.9,0
312,0.8,0.8,0.8,0.8,0,0.3,0.3,0.3,0.3,0
313,0.8,0.8,0.8,0.8,0,0.6,0.6,0.6,0.6,0
321,0.8,0.8,0.8,0.8,0,1,1,1,1,0
322,0.9,0.9,0.9,0.9,0,1,1,1,1,0
323,0.9,0.9,0.9,0.9,0,0.75,0.75,0.75,0.75,0
324,1,1,1,1,0,0.85,0.85,0.85,0.85,0
331,0.3,0.3,0.3,0.3,0,0.1,0.1,0.1,0.1,0
332,0,0,0,0,0,0,0,0,0,0
333,0.7,0.7,0.7,0.7,0,0.35,0.35,0.35,0.35,0
334,0.3,0.3,0.3,0.3,0,0.2,0.2,0.2,0.2,0
335,0,0,0,0,0,0,0,0,0,0
411,0.3,0.3,0.3,0.3,0,0.75,0.75,0.75,0.75,0
412,0.3,0.3,0.3,0.3,0,0.5,0.5,0.5,0.5,0
421,0.3,0.3,0.3,0.3,0,0.55,0.55,0.55,0.55,0
422,0,0,0,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0,0,0,0
521,0.2,0.2,0.2,0.2,0,0,0,0,0,0
522,0,0,0,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0,0,0,0
