"study_id","site_id","latitude","longitude","startDate","endDate","refYear"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Arroyo Claro",-41.945183,-71.520683,"2014-01-01","2014-02-01","2014"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Miguel",-42.01035,-71.52805,"2014-01-01","2014-02-01","2014"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Marcelino",-42.115781,-71.43862,"2014-01-01","2014-02-01","2014"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Valle del Medio",-41.99975,-71.552483,"2014-01-01","2014-02-01","2014"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Omar",-42.125874,-71.42318,"2014-01-01","2014-02-01","2014"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","El Inca",-41.895272,-71.549982,"2014-01-01","2014-02-01","2014"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Nelson",-41.924705,-71.514139,"2014-01-01","2014-02-01","2014"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","CEPA",-42.114368,-71.560604,"2014-01-01","2014-02-01","2014"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Silva",-42.046983,-71.510317,"2014-01-01","2014-02-01","2014"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Andrea",-42.127667,-71.581217,"2014-01-01","2014-02-01","2014"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Ines",-42.066017,-71.504517,"2014-01-01","2014-02-01","2014"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Tranquerita",-42.095833,-71.518417,"2014-01-01","2014-02-01","2014"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","Hernan",-41.902983,-71.536111,"2014-01-01","2014-02-01","2014"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","El Chucao",-42.028397,-71.589024,"2014-01-01","2014-02-01","2014"
"Agustin_Saez_Rubus_idaeus_Argentina_2014","El Monje",-42.099967,-71.452717,"2014-01-01","2014-02-01","2014"
