bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,biome_num,chili,def,dist_seminat,ec,ei,elevation,es,et,gHM,gpp,le,pdsi,pet,ple,ro,site_id,soil,soil_carbon_b10,soil_clay_b10,soil_den_b10,soil_pH_b10,soil_sand_b10,soil_water_b10,srad,study_id,swe,topo_div,vap,vpd,vs,activity,bare,cropland,grass,moss,shrub,tree,urban,crop,management,sampling_year,log_visit_rate,author_id
110.0,111.0,31.0,8740.0,291.0,-65.0,356.0,199.0,-6.0,221.0,-6.0,1131.0,112.0,74.0,12.0,318.0,247.0,312.0,247.0,4.0,199.0,29.41666667,0.0,0.737616473,0.104554552,110.0,0.489524891,163.275,0.573423743,3.197810138,502.125,498.4166667,311.65,957.9,43.5,bar,695.3333333,3.0,17.0,140.0,55.0,33.0,25.0,1556.666667,Rachael_Winfree_Cucumis_melo_USA_2004,15.66666667,0.135638282,1064.833333,57.5,294.6666667,0.6160660874999999,0.2827055085,5.2709355065,20.58451765,0.0,2.3650534885,51.257988389999994,20.233439575,Cucumis melo,,2004,-0.35667494393873245,RachaelWinfree
111.0,113.0,31.0,8739.0,295.0,-62.0,357.0,200.0,-4.0,222.0,-4.0,1147.0,115.0,73.0,12.0,323.0,247.0,319.0,247.0,4.0,200.0,30.08333333,0.0,0.604253883,0.077335344,97.0,0.681765387,146.3513514,0.684010983,2.649775567,450.0,462.8333333,317.5945946,976.0,43.41666667,del,753.5833333,2.0,20.0,144.0,58.0,24.0,24.0,1553.583333,Rachael_Winfree_Cucumis_melo_USA_2004,17.5,0.137724891,1055.25,57.41666667,296.75,0.600510898,0.1519242535,5.537425229,19.053237075,0.0,2.2650739005,45.351097304999996,27.320738175000002,Cucumis melo,,2004,-1.0986122886681098,RachaelWinfree
112.0,115.0,32.0,8680.0,297.0,-62.0,359.0,215.0,-2.0,223.0,-2.0,1158.0,125.0,74.0,14.0,338.0,251.0,330.0,251.0,4.0,195.0,35.25,100.0,0.552571747,0.07249861,57.0,0.695410401,153.75,0.533913076,2.525971644,472.0,394.25,327.84375,1006.625,44.33333333,ker,750.3333333,2.0,19.0,146.0,54.0,25.0,22.0,1565.416667,Rachael_Winfree_Cucumis_melo_USA_2004,17.25,0.065387741,1068.333333,57.75,292.0833333,0.613280229,0.352016426,13.169266628499999,21.3775453,0.0,2.5230733465000004,42.67038647,19.68257251,Cucumis melo,,2004,-2.3025850929940455,RachaelWinfree
114.0,113.0,31.0,8529.0,296.0,-58.0,354.0,215.0,2.0,222.0,2.0,1150.0,123.0,75.0,14.0,338.0,252.0,327.0,252.0,5.0,198.0,41.08333333,0.0,0.0,0.0,29.0,1.825701842,,0.743535697,0.0,,384.0,,,41.66666667,lee,756.8333333,4.0,12.0,151.0,56.0,54.0,17.0,1569.083333,Rachael_Winfree_Cucumis_melo_USA_2004,13.75,0.038466722,1089.0,57.83333333,310.5833333,0.6155569970000001,0.8332405945,6.939220217,17.550865514999998,0.0,1.8021675284999998,38.733885904999994,34.124559055,Cucumis melo,,2004,-2.70805020110221,RachaelWinfree
111.0,114.0,32.0,8649.0,295.0,-61.0,356.0,214.0,-3.0,221.0,-3.0,1165.0,125.0,75.0,13.0,339.0,253.0,331.0,253.0,4.0,193.0,36.66666667,100.0,0.805776807,0.129186059,67.0,0.363374776,187.0588235,0.582394838,3.598468626,575.5,393.3333333,309.6764706,952.2941176,43.91666667,lit,754.3333333,3.0,21.0,148.0,57.0,27.0,24.0,1566.166667,Rachael_Winfree_Cucumis_melo_USA_2004,16.25,0.089015387,1070.083333,58.25,293.5,0.6134055265,0.147982986,9.3767608265,21.08201804,0.0,1.8296284935,49.796878989999996,17.700292985,Cucumis melo,,2004,-1.791759469228055,RachaelWinfree
117.0,108.0,30.0,8781.0,298.0,-56.0,354.0,220.0,1.0,228.0,1.0,1135.0,113.0,74.0,12.0,319.0,249.0,315.0,249.0,4.0,200.0,33.41666667,100.0,0.0,0.0,52.0,1.898441825,,0.657466054,0.0,,485.0,,,41.58333333,map,693.9166667,4.0,16.0,148.0,56.0,38.0,20.0,1557.666667,Rachael_Winfree_Cucumis_melo_USA_2004,13.0,0.153577298,1077.666667,60.66666667,298.3333333,0.6163560565,1.106999643,4.241234734,23.186910195,0.0,2.632507398,39.194893605000004,29.603288855000002,Cucumis melo,,2004,-1.0986122886681098,RachaelWinfree
112.0,115.0,31.0,8760.0,298.0,-64.0,362.0,215.0,-4.0,223.0,-4.0,1154.0,117.0,74.0,12.0,326.0,250.0,322.0,250.0,4.0,189.0,32.16666667,100.0,0.703236605,0.101064104,72.0,0.504334609,145.3513514,0.591223717,3.199745435,447.4324324,449.0833333,282.027027,867.6756757,42.91666667,non,765.75,3.0,17.0,141.0,61.0,28.0,26.0,1559.416667,Rachael_Winfree_Cucumis_melo_USA_2004,17.08333333,0.122104138,1059.833333,58.08333333,293.5,0.604073953,0.5932821785,16.869369985,24.769569285000003,0.0,2.541805202,43.807529625,11.397375225,Cucumis melo,,2004,-2.0149030205422647,RachaelWinfree
107.0,117.0,32.0,8770.0,296.0,-68.0,364.0,210.0,-8.0,219.0,-8.0,1155.0,114.0,74.0,12.0,324.0,250.0,319.0,250.0,4.0,195.0,25.25,0.0,0.800765044,0.131665937,115.0,0.365816599,192.8055556,0.503023028,3.555014262,592.2777778,467.5,332.2222222,1021.083333,45.83333333,pen,778.9166667,4.0,20.0,143.0,59.0,20.0,26.0,1545.666667,Rachael_Winfree_Cucumis_melo_USA_2004,22.08333333,0.165171817,1043.666667,54.58333333,292.5833333,0.5922845875,0.25058579599999997,16.91739793,27.843159829999998,0.0,3.8831413615,45.970807175000004,4.7272163415,Cucumis melo,,2004,-2.3025850929940455,RachaelWinfree
108.0,122.0,33.0,8795.0,299.0,-69.0,368.0,211.0,-8.0,220.0,-8.0,1142.0,113.0,73.0,11.0,321.0,248.0,316.0,248.0,4.0,198.0,22.16666667,0.0,0.0,0.0,66.0,1.762240073,,0.484715819,0.0,,454.3333333,,,48.25,phi,829.25,3.0,19.0,143.0,61.0,29.0,25.0,1541.083333,Rachael_Winfree_Cucumis_melo_USA_2004,26.5,0.348802298,1034.0,52.58333333,286.1666667,0.589670719,1.2671129645,11.0496370125,24.539127479999998,0.0,3.2409606904999997,50.97150035,6.846108119,Cucumis melo,,2004,-0.6286086594223742,RachaelWinfree
108.0,113.0,31.0,8776.0,291.0,-68.0,359.0,197.0,-9.0,218.0,-9.0,1134.0,111.0,73.0,12.0,319.0,245.0,314.0,245.0,4.0,186.0,26.75,100.0,0.797865024,0.124658285,114.0,0.380733279,178.2903226,0.642372251,3.61124998,548.0,489.75,333.6129032,1025.064516,44.75,ray,720.9166667,2.0,21.0,147.0,58.0,21.0,24.0,1546.166667,Rachael_Winfree_Cucumis_melo_USA_2004,18.91666667,0.143024519,1051.0,55.5,295.6666667,0.6037559535,0.5905507975,15.977034630000002,29.08988977,0.0,3.610549445,32.887297005,17.820791745,Cucumis melo,,2004,-2.70805020110221,RachaelWinfree
111.0,117.0,32.0,8694.0,297.0,-63.0,360.0,214.0,-3.0,222.0,-3.0,1164.0,125.0,73.0,13.0,338.0,251.0,330.0,251.0,4.0,180.0,31.0,0.0,0.897630767,0.4849397,44.0,0.282197977,223.7368421,0.555125892,5.583494076,687.3157895,391.1666667,319.5789474,982.8947368,46.66666667,spr,750.8333333,4.0,17.0,136.0,57.0,32.0,26.0,1562.75,Rachael_Winfree_Cucumis_melo_USA_2004,19.66666667,0.243757918,1057.583333,55.75,290.4166667,0.6053252505,0.519216886,5.137196223,23.007155775,0.0,2.0685047475,63.629992315,5.6336476045,Cucumis melo,,2004,-0.40546510810816444,RachaelWinfree
