landcover,nesting ground,nesting wood,nesting stem,nesting cavity,management nesting,floral spring,floral summer,floral autumn,floral winter,management floral
111,0.1,0.1,0.1,0.1,0,0.05,0.05,0.05,0,0
112,0.2,0.1,0.1,0.1,0,0.1,0.05,0.05,0,0
121,0.2,0.1,0.1,0.1,0,0.05,0.05,0.05,0,0
122,0.4,0.2,0.2,0.2,0,0.4,0.2,0.05,0.1,0
123,0.1,0.1,0.1,0.1,0,0.05,0.05,0.05,0,0
124,0.4,0.2,0.2,0.2,0,0.3,0.1,0.05,0.05,0
131,0.4,0.1,0.1,0.1,0,0.1,0.05,0.05,0,0
132,0.4,0.1,0.1,0.1,0,0.2,0.1,0.05,0,0
133,0.4,0.1,0.1,0.1,0,0.1,0.05,0.05,0,0
141,0.4,0.3,0.4,0.1,0,0.4,0.4,0.05,0.2,0
142,0.2,0.1,0.1,0.1,0,0.3,0.25,0.05,0,0
211,0.2,0.2,0.2,0.2,0,0.1,0.05,0.05,0.1,0
212,0.2,0.2,0.2,0.2,0,0.2,0.1,0.05,0.1,0
213,0.1,0.1,0.1,0.1,0,0.1,0.1,0.05,0.1,0
221,0.6,0.6,0.6,0.6,0.25,0.4,0.3,0.3,0.1,0.25
222,0.6,0.6,0.6,0.6,0.25,0.7,0.4,0.3,0.2,0.25
223,0.6,0.6,0.6,0.6,0.25,0.5,0.4,0.3,0.2,0.25
231,0.3,0.3,0.3,0.3,0.25,0.4,0.1,0.2,0.1,0.25
241,0.3,0.2,0.3,0.4,0.25,0.5,0.5,0.5,0.2,0.25
242,0.3,0.2,0.3,0.4,0.25,0.4,0.4,0.4,0.1,0.25
243,0.7,0.7,0.7,0.7,0.25,0.75,0.5,0.3,0.3,0.25
244,1,1,1,1,0.25,0.5,0.4,0.3,0.2,0.25
311,0.8,0.8,0.8,0.8,0,0.8,0.3,0.1,0.2,0.1
312,0.8,0.8,0.8,0.8,0,0.9,0.5,0.3,0.3,0.1
313,0.8,0.8,0.8,0.8,0,0.8,0.6,0.3,0.3,0.1
321,0.8,0.8,0.8,0.8,0,1,0.5,0.1,0.4,0.1
322,0.9,0.9,0.9,0.9,0,1,0.5,0.1,0.4,0
323,1,1,1,1,0,1,0.5,0.1,0.4,0.1
324,1,1,1,1,0,1,0.5,0.1,0.4,0.1
331,0.4,0.1,0.2,0.2,0,0.5,0.2,0.1,0.3,0
332,0,0,0,0,0,0,0,0,0,0
333,0.7,0.7,0.7,0.7,0,0.4,0.2,0.1,0.1,0
334,0.3,0.5,0.3,0.3,0,0.2,0.2,0.1,0,0
335,0,0,0,0,0,0,0,0,0,0
411,0.3,0.3,0.3,0.3,0,0.2,0.2,0.1,0,0
412,0.3,0.3,0.3,0.3,0,0.2,0.2,0.1,0,0
421,0.3,0.3,0.3,0.3,0,0.2,0.2,0.1,0.05,0
422,0.3,0.3,0.3,0.3,0,0.2,0.2,0.1,0.1,0
423,0.3,0.3,0.3,0.3,0,0.2,0.2,0.1,0.1,0
511,0,0,0,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0,0,0,0
