site_id,study_id,latitude,longitude,crop,management,ab_wildbees,ab_bombus,total_sampled_time,sampling_year,sampling_abundance,log_visit_rate,log_vr_small,log_vr_large
Angel,Alejandro_Trillo_Fragaria_ananassa_Spain_2016,37.194164276123,-6.8266658782959,Fragaria x ananassa,conventional,0.0,12.0,240.0,2016,transects,-2.995732273553991,-5.480638923341991,-2.9156895658804545
Francisco1,Alejandro_Trillo_Fragaria_ananassa_Spain_2016,37.2452774047852,-6.59694385528564,Fragaria x ananassa,conventional,2.0,0.0,240.0,2016,transects,-4.787491742782046,-4.382026634673881,-5.480638923341991
Francisco2,Alejandro_Trillo_Fragaria_ananassa_Spain_2016,37.2797203063965,-6.59972190856934,Fragaria x ananassa,conventional,0.0,1.0,240.0,2016,transects,-5.480638923341991,-5.480638923341991,-4.787491742782046
Juanantonio,Alejandro_Trillo_Fragaria_ananassa_Spain_2016,37.2613868713379,-6.7994441986084,Fragaria x ananassa,conventional,0.0,2.0,240.0,2016,transects,-4.787491742782046,-5.480638923341991,-4.382026634673881
Maria,Alejandro_Trillo_Fragaria_ananassa_Spain_2016,37.085277557373,-6.55111122131348,Fragaria x ananassa,conventional,0.0,1.0,240.0,2016,transects,-5.480638923341991,-5.480638923341991,-4.787491742782046
Mazagon1,Alejandro_Trillo_Fragaria_ananassa_Spain_2016,37.1719436645508,-6.85027694702148,Fragaria x ananassa,conventional,0.0,7.0,240.0,2016,transects,-3.534728774286678,-5.480638923341991,-3.4011973816621555
Bramlett,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.8905338,-122.2290552,Prunus dulcis,,37.0,8.0,13.3333333333333,2009,focal observations,1.2163953243244956,1.0473189942805616,-0.3930425881096047
Etters,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.7679852,-122.1633011,Prunus dulcis,,6.0,0.0,13.3333333333333,2009,focal observations,-0.7985076962177691,-0.6443570163905107,-2.590267165445824
Full Belly,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.8708174,-122.2289264,Prunus dulcis,,13.0,8.0,13.3333333333333,2009,focal observations,0.4542552722775989,0.04879016416943458,-0.3930425881096047
Laury,Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,38.9016493,-122.2408052,Prunus dulcis,,22.0,3.0,13.3333333333333,2009,focal observations,0.6286086594223766,0.5452270504833255,-1.2039728043259335
