site_id,study_id,latitude,longitude,crop,management,ab_wildbees,ab_bombus,total_sampled_time,sampling_year,sampling_abundance
Arroyo Claro,Agustin_Saez_Rubus_idaeus_Argentina_2014,-41.945183,-71.520683,Rubus idaeus,organic,20.0,67.0,,2014,sweep net
Miguel,Agustin_Saez_Rubus_idaeus_Argentina_2014,-42.01035,-71.52805,Rubus idaeus,organic,10.0,104.0,,2014,sweep net
Marcelino,Agustin_Saez_Rubus_idaeus_Argentina_2014,-42.115781,-71.43862,Rubus idaeus,organic,5.0,42.0,,2014,sweep net
Valle del Medio,Agustin_Saez_Rubus_idaeus_Argentina_2014,-41.99975,-71.552483,Rubus idaeus,organic,2.0,47.0,,2014,sweep net
Omar,Agustin_Saez_Rubus_idaeus_Argentina_2014,-42.125874,-71.42318,Rubus idaeus,organic,31.0,77.0,,2014,sweep net
El Inca,Agustin_Saez_Rubus_idaeus_Argentina_2014,-41.895272,-71.549982,Rubus idaeus,organic,16.0,178.0,,2014,sweep net
Nelson,Agustin_Saez_Rubus_idaeus_Argentina_2014,-41.924705,-71.514139,Rubus idaeus,organic,22.0,141.0,,2014,sweep net
CEPA,Agustin_Saez_Rubus_idaeus_Argentina_2014,-42.114368,-71.560604,Rubus idaeus,organic,2.0,81.0,,2014,sweep net
Silva,Agustin_Saez_Rubus_idaeus_Argentina_2014,-42.046983,-71.510317,Rubus idaeus,organic,9.0,40.0,,2014,sweep net
Andrea,Agustin_Saez_Rubus_idaeus_Argentina_2014,-42.127667,-71.581217,Rubus idaeus,organic,2.0,88.0,,2014,sweep net
Ines,Agustin_Saez_Rubus_idaeus_Argentina_2014,-42.066017,-71.504517,Rubus idaeus,organic,2.0,15.0,,2014,sweep net
Tranquerita,Agustin_Saez_Rubus_idaeus_Argentina_2014,-42.095833,-71.518417,Rubus idaeus,organic,5.0,43.0,,2014,sweep net
Hernan,Agustin_Saez_Rubus_idaeus_Argentina_2014,-41.902983,-71.536111,Rubus idaeus,organic,22.0,156.0,,2014,sweep net
El Chucao,Agustin_Saez_Rubus_idaeus_Argentina_2014,-42.028397,-71.589024,Rubus idaeus,organic,3.0,96.0,,2014,sweep net
El Monje,Agustin_Saez_Rubus_idaeus_Argentina_2014,-42.099967,-71.452717,Rubus idaeus,organic,5.0,26.0,,2014,sweep net
