bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,biome_num,chili,def,dist_seminat,ec,ei,elevation,es,et,gHM,gpp,le,pdsi,pet,ple,ro,site_id,soil,soil_carbon_b10,soil_clay_b10,soil_den_b10,soil_pH_b10,soil_sand_b10,soil_water_b10,srad,study_id,swe,topo_div,vap,vpd,vs,activity,bare,cropland,grass,moss,shrub,tree,urban,latitude,longitude,crop,management,ab_wildbees,ab_bombus,total_sampled_time,sampling_year,sampling_abundance,log_visit_rate,log_vr_small,log_vr_large,author_id
197.0,107.0,62.0,2023.0,283.0,111.0,172.0,213.0,175.0,219.0,168.0,1813.0,335.0,47.0,74.0,891.0,141.0,506.0,145.0,1.0,242.0,149.4166667,0.0,2.461607972,0.667116257,1134.0,0.020528335,306.7714286,0.595363498,9.264281865,943.3714286,-89.83333333,468.9142857,1443.485714,31.16666667,MIR1,1083.0,7.0,35.0,118.0,55.0,39.0,39.0,2047.416667,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,0.0,0.444055855,1871.083333,72.0,163.25,0.5399945915,0.00659317,0.104852855,7.4682170955,0.0,10.660669876,79.132629065,2.6270379375,19.2110667,-96.8997333,Coffea arabica,organic,15.0,0.0,100.0,2004,focal observations,-1.8971199848858813,-1.8325814637483102,-4.605170185988091,CarlosH
197.0,107.0,62.0,2023.0,283.0,111.0,172.0,213.0,175.0,219.0,168.0,1813.0,335.0,47.0,74.0,891.0,141.0,506.0,145.0,1.0,223.0,149.4166667,0.0,2.464720695,0.659648042,1113.0,0.024342612,307.6285714,0.595363498,9.235067819,948.1142857,-89.83333333,463.6285714,1428.085714,31.16666667,MIR2,1083.0,7.0,36.0,117.0,57.0,39.0,38.0,2047.416667,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,0.0,0.597464263,1871.083333,72.0,163.25,0.5399937969999999,0.006579783,0.116666249,6.9666980165000005,0.0,10.252876277999999,80.524719695,2.132459979,19.2135333,-96.8995167,Coffea arabica,organic,10.0,0.0,100.0,2004,focal observations,-2.3025850929940455,-2.2072749131897207,-4.605170185988091,CarlosH
197.0,107.0,62.0,2023.0,283.0,111.0,172.0,213.0,175.0,219.0,168.0,1813.0,335.0,47.0,74.0,891.0,141.0,506.0,145.0,1.0,229.0,149.4166667,0.0,2.461607972,0.667116257,1126.0,0.020528335,306.7714286,0.595363498,9.264281865,943.3714286,-89.83333333,468.9142857,1443.485714,31.16666667,MIR3,1083.0,6.0,34.0,119.0,55.0,40.0,36.0,2047.416667,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,0.0,0.508492529,1871.083333,72.0,163.25,0.5399948569999999,0.007073981500000001,0.125033538,7.849842432999999,0.0,11.0091157395,77.933851205,3.0750831,19.2098833,-96.8965,Coffea arabica,organic,12.0,0.0,100.0,2004,focal observations,-2.120263536200091,-2.0402208285265546,-4.605170185988091,CarlosH
198.0,107.0,62.0,2008.0,283.0,111.0,172.0,213.0,176.0,219.0,169.0,1793.0,330.0,47.0,74.0,881.0,141.0,498.0,144.0,1.0,244.0,149.4166667,0.0,2.484952021,0.673537506,1085.0,0.018590537,319.425,0.598550797,9.280258245,983.55,-89.83333333,472.4,1453.65,31.16666667,MIR4,1083.0,6.0,35.0,121.0,57.0,40.0,37.0,2047.416667,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,0.0,0.464222848,1871.083333,72.0,163.25,0.5399948569999999,0.0070436430000000005,0.2301849715,7.541825146499999,0.0,10.7648531335,78.2643849,3.191708207,19.2101167,-96.8876667,Coffea arabica,organic,8.0,0.0,100.0,2004,focal observations,-2.5257286443082556,-2.4079456086518722,-4.605170185988091,CarlosH
195.0,107.0,62.0,1993.0,280.0,109.0,171.0,211.0,174.0,216.0,167.0,1869.0,346.0,48.0,75.0,920.0,144.0,526.0,148.0,1.0,250.0,142.0,0.0,2.461205711,0.647591976,1140.0,0.02557694,314.7105263,0.692274868,9.219040699,969.1315789,-80.16666667,473.6315789,1457.842105,36.41666667,ORD1,1145.583333,6.0,35.0,115.0,56.0,40.0,38.0,2042.083333,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,0.0,0.29028827,1848.0,73.41666667,163.0,0.5397449755,0.009219331,0.1302501345,9.437568612,0.0,12.54285636,73.880258825,3.999846736,19.2055833,-96.8977333,Coffea arabica,conventional,1.0,0.0,100.0,2004,focal observations,-4.605170185988091,-3.912023005428146,-4.605170185988091,CarlosH
195.0,107.0,62.0,1993.0,280.0,109.0,171.0,211.0,174.0,216.0,167.0,1869.0,346.0,48.0,75.0,920.0,144.0,526.0,148.0,1.0,248.0,142.0,0.0,2.461205711,0.647591976,1144.0,0.02557694,314.7105263,0.692274868,9.219040699,969.1315789,-80.16666667,473.6315789,1457.842105,36.41666667,ORD2,1145.583333,6.0,34.0,120.0,55.0,40.0,37.0,2042.083333,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,0.0,0.29028827,1848.0,73.41666667,163.0,0.5397449755,0.008554383,0.122845438,9.5139410545,0.0,12.567037975,73.75907982999999,4.028541317,19.20565,-96.89855,Coffea arabica,conventional,3.0,0.0,100.0,2004,focal observations,-3.506557897319982,-3.2188758248682006,-4.605170185988091,CarlosH
198.0,108.0,62.0,2015.0,283.0,111.0,172.0,214.0,176.0,219.0,169.0,1808.0,332.0,47.0,75.0,889.0,141.0,502.0,144.0,1.0,231.0,142.0,0.0,2.498448791,0.679418756,1077.0,0.018155985,314.9487179,0.709467053,9.278411832,969.6410256,-80.16666667,463.4358974,1426.153846,36.41666667,ORD3,1145.583333,6.0,36.0,119.0,54.0,37.0,38.0,2042.083333,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,0.0,0.290052772,1848.0,73.41666667,163.0,0.5397447115,0.0067654185,0.337516972,8.11432552,0.0,11.467325585000001,77.05180763499999,3.0222588655,19.2070167,-96.8843,Coffea arabica,conventional,2.0,0.0,100.0,2004,focal observations,-3.912023005428146,-3.506557897319982,-4.605170185988091,CarlosH
198.0,108.0,62.0,2015.0,283.0,111.0,172.0,214.0,176.0,219.0,169.0,1808.0,332.0,47.0,75.0,889.0,141.0,502.0,144.0,1.0,250.0,142.0,0.0,2.288138033,1.018426687,1079.0,0.024687331,313.5128205,0.709467053,10.41129554,965.0769231,-80.16666667,459.2051282,1413.179487,36.41666667,ORD4,1145.583333,6.0,36.0,119.0,54.0,37.0,38.0,2042.083333,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,0.0,0.273294717,1848.0,73.41666667,163.0,0.5397449755,0.008046754,0.312418828,8.257559619,0.0,11.665803945,76.688194795,3.067976061,19.2063,-96.8850667,Coffea arabica,conventional,13.0,0.0,100.0,2004,focal observations,-2.0402208285265546,-1.9661128563728327,-4.605170185988091,CarlosH
190.0,100.0,59.0,2125.0,275.0,107.0,168.0,207.0,168.0,213.0,160.0,1740.0,315.0,56.0,66.0,770.0,169.0,499.0,175.0,1.0,243.0,128.4166667,0.0,2.303977377,0.633168031,1209.0,0.023369286,318.3947368,0.73471278,9.015012544,980.5263158,-156.8333333,462.1315789,1422.657895,40.25,VSE1,820.75,5.0,39.0,112.0,54.0,37.0,44.0,2069.166667,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,0.0,0.255224824,1764.5,66.58333333,162.6666667,0.5850667015,0.1275841305,3.2656194725,11.09177155,0.0,12.180949155,63.836467075,9.497182121,19.4726667,-96.9256333,Coffea arabica,conventional,3.0,0.0,100.0,2004,focal observations,-3.506557897319982,-3.2188758248682006,-4.605170185988091,CarlosH
190.0,100.0,59.0,2125.0,275.0,107.0,168.0,207.0,168.0,213.0,160.0,1740.0,315.0,56.0,66.0,770.0,169.0,499.0,175.0,1.0,241.0,128.4166667,0.0,2.317532348,0.664869153,1226.0,0.017875634,325.025641,0.717649639,9.078294258,1000.794872,-156.8333333,465.2307692,1432.025641,40.25,VSE2,820.75,5.0,38.0,115.0,55.0,37.0,40.0,2069.166667,Carlos_H_Vergara_Coffea_arabica_Mexico_2004,0.0,0.200581893,1764.5,66.58333333,162.6666667,0.5850667015,0.16348586850000002,3.2005446204999997,10.5985112,0.0,11.498333989999999,65.625197015,8.9135239695,19.4724667,-96.9286167,Coffea arabica,conventional,1.0,0.0,100.0,2004,focal observations,-4.605170185988091,-3.912023005428146,-4.605170185988091,CarlosH
